address,address_clean,lat,lon
"1700 CORDELL AVE., ALBANY, Georgia 31705","1700 CORDELL AVE., ALBANY, Georgia 31705",31.5927833,-84.1150844
"407 WEST FOURTH STREET, OCILLA, Georgia 31774-1463","407 WEST FOURTH STREET, OCILLA, Georgia 31774",31.594237,-83.254737
"813 NORTH IRWIN AVE, OCILLA, Georgia 31774","813 NORTH IRWIN AVE, OCILLA, Georgia 31774",31.5965363,-83.2504612
"240 PEACHTREE STREET, JESUP, Georgia 31545-0212","240 PEACHTREE STREET, JESUP, Georgia 31545",31.6006718,-81.8990041
"1801 PALMYRA ROAD, ALBANY, Georgia 31701-1572","1801 PALMYRA ROAD, ALBANY, Georgia 31701",31.6006935,-84.1667166
"391 PEACHTREE STREET, JESUP, Georgia 31545-0209","391 PEACHTREE STREET, JESUP, Georgia 31545",31.6007775,-81.8984226
"391 PEACHTREE STREET, JESUP, Georgia 31545-0245","391 PEACHTREE STREET, JESUP, Georgia 31545",31.6007775,-81.8984226
"WAYNE MEMORIAL HOSPITAL, JESUP, Georgia 31545","WAYNE MEMORIAL HOSPITAL, JESUP, Georgia 31545",31.6008496,-81.900261
"176 MEMORIAL DRIVE, JESUP, Georgia 31545-0101","176 MEMORIAL DRIVE, JESUP, Georgia 31545",31.6023899,-81.9009656
"2000 SCHILLING AVE., ALBANY, Georgia 31705","2000 SCHILLING AVE., ALBANY, Georgia 31705",31.603125,-84.104341
"2336 DAWSON ROAD, ALBANY, Georgia 31707-2442","2336 DAWSON ROAD, ALBANY, Georgia 31707",31.6035586,-84.204672
"101 HARTFORD RD. WEST SUITE 2, FORT GAINES, Georgia 39851-3611","101 HARTFORD RD. WEST SUITE 2, FORT GAINES, Georgia 39851",31.603818,-85.050204
"1912 ARLINGTON LANE, ALBANY, Georgia 31701","1912 ARLINGTON LANE, ALBANY, Georgia 31701",31.606064,-84.1678257
"2100 PALMYRA ROAD, ALBANY, Georgia 31701","2100 PALMYRA ROAD, ALBANY, Georgia 31701",31.606859,-84.172288
"1909 ABERDEEN ROAD, ALBANY, Georgia 31701-1300","1909 ABERDEEN ROAD, ALBANY, Georgia 31701",31.606984,-84.1672645
"2000 PALMYRA ROAD, ALBANY, Georgia 31701","2000 PALMYRA ROAD, ALBANY, Georgia 31701",31.6070142,-84.1696228
"2701 MEREDYTH DRIVE, ALBANY, Georgia 31707-2267","2701 MEREDYTH DRIVE, ALBANY, Georgia 31707",31.610638,-84.2219616
"600 POINTE NORTH BLVD., ALBANY, Georgia 31721","600 POINTE NORTH BLVD., ALBANY, Georgia 31721",31.610777,-84.225796
"200 HOBBS LANE, FORT GAINES, Georgia 39851-3319","200 HOBBS LANE, FORT GAINES, Georgia 39851",31.617845,-85.045695
"1390 US HIGHWAY 19 SOUTH, LEESBURG, Georgia 31763-4831","1390 US HIGHWAY 19 SOUTH, LEESBURG, Georgia 31763",31.63712,-84.175886
"1205 HWY 19 SOUTH, LEESBURG, Georgia 31763","1205 HWY 19 SOUTH, LEESBURG, Georgia 31763",31.666563,-84.172866
"251 APPOMATTOX ROAD, FITZGERALD, Georgia 31750-3757","251 APPOMATTOX ROAD, FITZGERALD, Georgia 31750",31.6951195,-83.2568546
"299 BENJAMIN HILL DRIVE, FITZGERALD, Georgia 31750-8855","299 BENJAMIN HILL DRIVE, FITZGERALD, Georgia 31750",31.6971876,-83.2392435
"101 OAKLAND CROSSING DR, LEESBURG, Georgia 31763","101 OAKLAND CROSSING DR, LEESBURG, Georgia 31763",31.697862,-84.219865
"1335 HWY 57, TOWNSEND, Georgia 31331-8211","1335 HWY 57, TOWNSEND, Georgia 31331",31.701324,-81.736221
"745 HUDSON AVENUE, ASHBURN, Georgia 31714-5312","745 HUDSON AVENUE, ASHBURN, Georgia 31714",31.710753,-83.6432049
"340 US HIGHWAY 19 S, LEESBURG, Georgia 31763-4872","340 US HIGHWAY 19 S, LEESBURG, Georgia 31763",31.715503,-84.172208
"124 ANDREWS WAY, SAINT MARYS, Georgia 31558-1653","124 ANDREWS WAY, SAINT MARYS, Georgia 31558",31.717757,-82.199225
"39 A ANDREWS WAY, SAINT MARYS, Georgia 31558-1633","39 A ANDREWS WAY, SAINT MARYS, Georgia 31558",31.718078,-82.200016
"126 HWY280 W, AMERICUS, Georgia 31719","126 HWY280 W, AMERICUS, Georgia 31719",31.718723,-84.348115
"118 ROBERT B. LEE DR., LEESBURG, Georgia 31763","118 ROBERT B. LEE DR., LEESBURG, Georgia 31763",31.7197102,-84.154151
